userID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,time,ip
48,3,3,2,4,3,1,3,1,2,3,1,1,2,1,1,1,3,2,1,2,2018-05-09 11:11:08,130.75.87.30
46,3,1,2,4,4,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2018-05-09 11:13:47,130.75.87.30
43,4,1,1,3,1,4,2,2,1,4,1,1,1,1,2,2,2,1,1,2,2018-05-09 13:15:48,130.75.87.30
58,3,1,2,2,4,4,3,4,3,3,3,1,1,1,1,1,1,1,1,1,2018-05-09 15:15:18,130.75.87.30
50,1,1,1,1,2,1,4,3,3,1,5,4,2,1,2,2,5,2,1,1,2018-05-11 09:08:32,130.75.87.30
51,2,1,3,1,4,2,4,3,1,4,1,1,2,1,1,1,2,1,1,1,2018-05-11 11:08:30,130.75.87.30
52,4,3,4,2,3,4,4,2,3,2,2,1,2,2,3,2,4,2,1,4,2018-05-11 11:08:54,130.75.87.30
53,3,1,3,2,1,2,1,4,1,2,1,1,2,1,1,1,1,1,1,2,2018-05-11 13:01:34,130.75.87.30
54,3,3,1,3,2,2,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2018-05-11 13:04:27,130.75.87.30
56,1,3,4,1,2,4,4,2,4,1,1,1,1,1,1,1,4,2,1,1,2018-05-11 13:09:20,130.75.87.30
55,1,3,3,4,2,2,4,2,3,3,1,1,2,1,1,1,1,1,1,1,2018-05-11 13:09:27,130.75.87.30
59,4,1,2,4,3,3,4,1,1,4,3,2,1,1,1,1,1,1,1,1,2018-05-11 17:13:56,130.75.87.30
60,4,1,3,1,3,3,3,3,4,2,1,1,1,1,1,1,2,1,1,2,2018-05-14 09:12:29,130.75.87.30
61,1,1,2,2,1,1,1,4,1,3,1,1,2,1,1,1,1,1,1,1,2018-05-14 11:06:17,130.75.87.30
62,2,3,1,3,4,3,3,1,1,1,2,2,1,1,2,3,2,1,1,2,2018-05-14 11:07:18,130.75.87.30
63,4,1,3,3,3,3,4,2,1,3,1,1,1,1,1,1,2,1,2,1,2018-05-14 13:12:45,130.75.87.30
64,2,1,3,3,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2018-05-14 13:22:44,130.75.87.30
65,2,1,2,2,4,4,2,4,4,4,1,1,2,1,3,1,3,1,1,1,2018-05-14 15:01:11,130.75.87.30
66,2,1,1,2,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,3,2018-05-14 15:11:30,130.75.87.30
67,1,3,2,2,1,2,4,2,3,2,1,2,1,1,2,4,5,2,2,5,2018-05-14 15:15:53,130.75.87.30
69,4,2,1,2,1,2,4,4,1,1,1,1,1,1,2,1,5,1,1,2,2018-05-15 13:20:29,130.75.87.30
71,2,2,2,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2018-05-15 15:06:13,130.75.87.30
70,4,1,3,1,4,2,4,4,4,4,1,1,1,1,1,2,3,2,1,2,2018-05-15 15:06:24,130.75.87.30
73,2,1,2,2,1,4,3,2,3,2,1,1,1,1,1,1,1,1,1,1,2018-05-15 15:07:57,130.75.87.30
73,4,3,3,1,3,4,4,2,1,2,3,3,3,3,4,3,5,3,2,4,2018-05-15 17:08:40,130.75.87.30
74,4,4,3,4,1,2,3,4,1,2,1,1,1,1,1,1,1,1,1,2,2018-05-15 17:11:56,130.75.87.30
75,2,3,2,3,4,2,1,2,3,1,1,1,2,2,1,1,2,2,1,2,2018-05-16 15:01:49,130.75.87.30
76,3,1,3,1,4,4,3,3,1,1,1,1,2,1,1,1,2,1,1,1,2018-05-16 15:04:06,130.75.87.30
77,1,1,2,2,1,3,4,4,3,2,5,4,4,2,3,1,4,2,2,2,2018-05-16 15:14:46,130.75.87.30
79,4,1,2,1,3,2,4,4,2,1,3,1,2,2,1,1,5,3,2,3,2018-05-17 15:09:00,130.75.87.30
78,4,3,3,2,3,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,2018-05-17 15:10:48,130.75.87.30
81,2,3,1,1,4,1,4,4,1,3,5,4,3,1,3,5,5,2,2,3,2018-05-18 09:11:26,130.75.87.30
82,4,2,3,4,1,2,1,1,4,1,1,1,2,1,1,1,1,1,1,1,2018-05-18 09:16:10,130.75.87.30
83,1,2,4,4,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,2018-05-18 11:06:55,130.75.87.30
84,1,2,2,3,1,2,2,2,2,1,2,1,3,2,2,2,2,1,1,1,2018-05-18 11:10:50,130.75.87.30
85,1,1,2,4,3,2,4,2,1,2,3,2,1,1,3,3,4,1,4,3,2018-05-18 15:49:53,130.75.87.30
