userID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,time,ip
46,1,1,2,4,3,3,4,1,4,3,3,1,1,1,1,1,5,2,2,2,2018-05-09 11:47:32,130.75.87.30
48,2,1,2,3,1,3,4,1,3,2,3,2,4,3,4,4,4,4,3,4,2018-05-09 12:10:58,130.75.87.30
49,1,1,2,1,1,2,4,2,3,1,5,5,1,3,1,2,4,3,5,5,2018-05-09 13:55:53,130.75.87.30
57,3,1,2,2,1,2,4,2,3,4,5,4,5,1,5,5,4,2,5,4,2018-05-09 13:57:53,130.75.87.30
58,1,1,2,2,1,4,4,2,1,3,5,4,1,1,3,1,2,1,1,1,2018-05-09 16:12:09,130.75.87.30
50,2,3,2,2,1,1,4,2,1,1,5,4,2,2,2,2,5,2,2,4,2018-05-11 09:45:30,130.75.87.30
52,3,1,2,2,1,2,4,2,3,2,5,4,3,2,4,2,5,1,1,4,2018-05-11 11:44:49,130.75.87.30
51,3,2,2,4,4,2,4,2,1,1,2,2,1,1,2,1,3,1,1,2,2018-05-11 11:50:27,130.75.87.30
53,2,1,3,3,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2018-05-11 13:27:00,130.75.87.30
54,3,3,2,3,2,4,4,4,3,2,1,1,1,1,1,1,2,1,1,1,2018-05-11 13:40:07,130.75.87.30
56,1,1,3,3,4,2,4,2,1,1,4,4,3,1,2,1,5,1,1,1,2018-05-11 13:43:14,130.75.87.30
59,3,3,1,2,1,3,4,1,3,4,3,3,3,1,3,3,1,1,1,1,2018-05-11 17:55:52,130.75.87.30
60,1,1,2,3,2,4,4,1,1,2,1,2,3,1,3,1,2,2,2,3,2018-05-14 09:51:14,130.75.87.30
61,3,1,2,2,1,1,4,2,3,3,2,1,1,1,1,1,1,1,1,1,2018-05-14 11:27:21,130.75.87.30
62,3,3,1,2,1,2,3,2,3,1,3,2,3,1,5,2,3,2,1,2,2018-05-14 11:50:41,130.75.87.30
63,1,3,2,2,1,2,4,2,1,1,2,2,2,1,5,1,1,1,1,1,2018-05-14 13:41:47,130.75.87.30
64,1,3,2,1,1,2,4,2,1,1,2,1,1,1,1,1,3,1,1,2,2018-05-14 13:59:05,130.75.87.30
63,1,3,2,1,1,2,4,2,1,3,2,1,1,1,1,1,2,1,1,2,2018-05-14 14:14:49,130.75.87.30
65,1,1,2,4,1,1,4,2,1,1,4,2,5,5,1,1,5,5,2,1,2018-05-14 15:36:46,130.75.87.30
66,3,1,2,2,1,3,4,1,3,2,5,5,1,1,5,1,5,3,3,2,2018-05-14 15:49:00,130.75.87.30
67,3,1,2,2,1,2,4,2,3,2,5,5,2,1,5,5,5,2,2,5,2018-05-14 15:54:13,130.75.87.30
68,3,1,2,1,4,1,4,1,1,2,4,2,3,1,1,2,4,1,1,2,2018-05-15 13:41:44,130.75.87.30
69,1,1,2,2,1,2,4,2,1,1,5,5,5,5,5,1,5,5,1,3,2018-05-15 13:58:52,130.75.87.30
71,1,1,2,1,1,2,4,2,3,1,4,4,1,1,5,1,3,1,4,5,2018-05-15 15:33:11,130.75.87.30
70,1,1,2,1,1,2,4,2,2,1,4,4,1,1,4,3,3,5,1,5,2018-05-15 15:36:53,130.75.87.30
72,3,3,2,2,1,4,4,1,1,2,5,3,1,1,1,1,1,1,1,1,2018-05-15 15:38:16,130.75.87.30
73,1,1,1,1,3,2,4,2,3,3,5,5,3,4,4,3,5,4,3,4,2018-05-15 17:26:55,130.75.87.30
74,3,4,2,2,4,4,2,2,1,3,2,1,5,2,2,2,4,1,1,3,2018-05-15 17:47:24,130.75.87.30
75,2,2,3,2,4,2,4,4,1,1,5,2,3,2,4,3,4,2,3,4,2018-05-16 15:31:52,130.75.87.30
76,3,1,2,1,1,2,3,3,4,4,1,1,5,3,5,4,3,2,1,1,2018-05-16 15:39:36,130.75.87.30
77,1,1,2,4,1,4,4,2,3,4,5,4,4,3,3,2,4,4,2,3,2018-05-16 15:57:29,130.75.87.30
78,2,2,3,2,1,2,4,1,2,1,1,2,1,1,1,1,1,1,1,1,2018-05-17 15:23:41,130.75.87.30
80,1,3,1,1,3,1,4,2,3,1,5,4,4,2,2,3,5,3,4,4,2018-05-17 15:46:38,130.75.87.30
81,3,3,1,1,4,1,4,4,2,3,4,4,2,1,4,5,4,3,3,4,2018-05-18 09:45:33,130.75.87.30
82,3,2,3,2,1,2,3,2,2,1,4,3,2,2,5,2,2,2,2,2,2018-05-18 09:52:30,130.75.87.30
83,1,3,1,4,1,2,1,4,3,2,4,2,1,1,1,3,2,1,3,1,2018-05-18 11:37:25,130.75.87.30
84,1,1,2,1,1,2,4,1,1,4,5,4,2,1,5,4,2,1,1,1,2018-05-18 11:47:37,130.75.87.30
