userID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,time,ip
46,4,4,3,5,2,5,4,3,5,4,2018-05-09 11:08:26,130.75.87.30
48,5,3,5,3,5,1,2,5,4,3,2018-05-09 11:08:43,130.75.87.30
43,2,2,4,2,4,2,2,5,5,2,2018-05-09 13:11:23,130.75.87.30
58,2,3,5,2,4,2,2,4,4,2,2018-05-09 15:04:41,130.75.87.30
50,4,4,5,3,4,4,2,4,4,3,2018-05-11 09:05:14,130.75.87.30
51,5,3,3,4,3,4,3,2,5,2,2018-05-11 11:05:31,130.75.87.30
52,3,4,4,2,4,2,4,4,4,2,2018-05-11 11:06:01,130.75.87.30
53,4,4,4,2,4,4,3,4,4,2,2018-05-11 12:58:19,130.75.87.30
54,2,4,4,5,4,4,2,5,5,2,2018-05-11 13:00:44,130.75.87.30
55,4,2,4,4,4,2,2,4,3,4,2018-05-11 13:06:10,130.75.87.30
56,2,2,4,2,3,2,1,4,4,1,2018-05-11 13:06:33,130.75.87.30
59,1,4,3,2,4,1,1,4,4,1,2018-05-11 17:06:47,130.75.87.30
60,1,3,4,1,4,2,1,5,5,1,2018-05-14 09:08:26,130.75.87.30
61,4,1,3,4,3,3,3,2,5,4,2018-05-14 11:01:03,130.75.87.30
62,2,3,4,3,5,3,2,4,5,2,2018-05-14 11:05:03,130.75.87.30
63,2,2,4,2,4,3,1,5,4,2,2018-05-14 13:09:34,130.75.87.30
64,1,3,4,2,5,2,1,4,5,1,2018-05-14 13:19:59,130.75.87.30
65,2,4,4,2,4,1,2,4,5,2,2018-05-14 14:58:03,130.75.87.30
66,2,4,5,2,5,2,1,5,4,1,2018-05-14 15:06:51,130.75.87.30
67,4,2,2,5,5,2,3,3,5,3,2018-05-14 15:09:05,130.75.87.30
69,1,1,4,2,3,2,2,2,4,1,2018-05-15 13:16:16,130.75.87.30
70,4,2,3,4,3,5,4,3,5,4,2018-05-15 15:02:20,130.75.87.30
71,2,3,4,2,4,3,1,4,4,2,2018-05-15 15:02:27,130.75.87.30
73,1,3,5,1,5,2,1,5,5,1,2018-05-15 15:04:58,130.75.87.30
74,2,3,3,2,4,3,2,4,4,3,2018-05-15 17:09:07,130.75.87.30
75,4,3,4,4,3,4,2,3,4,3,2018-05-16 14:59:52,130.75.87.30
76,1,5,5,4,5,2,2,5,5,4,2018-05-16 15:01:37,130.75.87.30
77,2,2,1,2,4,3,2,4,3,2,2018-05-16 15:09:50,130.75.87.30
79,4,4,4,2,3,4,4,3,2,3,2018-05-17 15:06:51,130.75.87.30
78,4,3,2,5,3,2,3,4,2,3,2018-05-17 15:08:13,130.75.87.30
81,4,2,4,2,4,4,2,4,5,1,2018-05-18 09:08:10,130.75.87.30
82,2,2,3,4,3,3,4,3,5,4,2018-05-18 09:11:36,130.75.87.30
83,2,3,4,3,4,5,2,4,4,2,2018-05-18 11:05:35,130.75.87.30
84,4,2,4,4,4,2,4,3,5,4,2018-05-18 11:06:54,130.75.87.30
85,4,3,4,5,3,4,5,2,4,5,2018-05-18 15:47:07,130.75.87.30
